mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_preprocessor__article__vect__max_df,param_preprocessor__article__vect__max_features,param_clf__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.663052654266357,0.20623905275701665,0.19495348930358886,0.0008726527954946159,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.9,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 30000}",0.6649606069695334,0.6658408553422492,0.665643267746435,0.6712091613367385,0.6709869376924633,0.6677281658174838,0.0027678528397185485,17
5.719864749908448,0.13862786572873637,0.1874856948852539,0.0008458563934417643,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.9,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': None}",0.6654414530133689,0.6662417558891761,0.6651228124699349,0.671282738586589,0.6700858464981179,0.6676349212914374,0.002544661433022896,19
7.172224617004394,0.21949297821688846,0.18783369064331054,0.0006935104711336096,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.7,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 10000}",0.6249505518454812,0.6243480695854516,0.6181533334627234,0.6248939548471226,0.6263142410976922,0.6237320301676943,0.0028637052507961037,35
9.972994470596314,0.2889426403505306,0.19545979499816896,0.0009027677660207545,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.7,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 30000}",0.6289181114224318,0.626280398009214,0.6276515444724196,0.6313697121462291,0.6292172144614325,0.6286873961023455,0.0016967843016354406,33
9.434207344055176,0.40937403372205694,0.18684711456298828,0.0012739172148154923,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.7,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': None}",0.627834819509352,0.6280207602122948,0.6299484326111631,0.6332317584266159,0.6298413819476906,0.6297754305414233,0.0019403773290679147,31
7.228193378448486,0.22354899596091962,0.18659844398498535,0.0010605388673553642,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.9,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 10000}",0.6249505518454812,0.6243480695854516,0.6181533334627234,0.6248939548471226,0.6263142410976922,0.6237320301676943,0.0028637052507961037,35
10.15749387741089,0.14356906159331062,0.19516220092773437,0.0012922368594823375,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.9,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 30000}",0.6289181114224318,0.626280398009214,0.6276515444724196,0.6313697121462291,0.6292172144614325,0.6286873961023455,0.0016967843016354406,33
9.457919502258301,0.38142612810592097,0.18996949195861818,0.005903766751062831,"LinearSVC(class_weight='balanced', random_state=42)",10.0,0.9,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 10, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': None}",0.627834819509352,0.6280207602122948,0.6299484326111631,0.6332317584266159,0.6298413819476906,0.6297754305414233,0.0019403773290679147,31
3.4973332405090334,0.07911350950139252,0.2423497200012207,0.03935025827808203,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.7,10000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 10000}",0.6492292870749983,0.6528070400660447,0.6523614456247173,0.6585667576125714,0.6483136363147484,0.652255633338616,0.003601212225452632,25
4.047118043899536,0.05945291145904216,0.2477320671081543,0.021239423241029294,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.7,30000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 30000}",0.6424941928898262,0.6447950311354763,0.6455042146794157,0.6478758294625488,0.6411170541674442,0.6443572644669423,0.0023603996509367125,27
3.0960015773773195,0.046383346644743396,0.23486580848693847,0.014961649173784354,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.7,,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': None}",0.6420948099421284,0.6448494315867156,0.6446312943084883,0.6475222857943441,0.6406267773811772,0.6439449198025707,0.002388295400216828,29
3.3998359203338624,0.024409146136401407,0.24450335502624512,0.01191030512209742,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.9,10000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 10000}",0.6492292870749983,0.6528070400660447,0.6523614456247173,0.6585667576125714,0.6483136363147484,0.652255633338616,0.003601212225452632,25
4.028054571151733,0.04387539333502354,0.22360591888427733,0.01601394265913076,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.9,30000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 30000}",0.6424941928898262,0.6447950311354763,0.6455042146794157,0.6478758294625488,0.6411170541674442,0.6443572644669423,0.0023603996509367125,27
3.072309398651123,0.04051737169687487,0.21281561851501465,0.01248593127656153,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",0.1,0.9,,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 0.1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': None}",0.6420948099421284,0.6448494315867156,0.6446312943084883,0.6475222857943441,0.6406267773811772,0.6439449198025707,0.002388295400216828,29
4.611534690856933,0.03771098034892173,0.1964569091796875,0.007840877363402674,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",1.0,0.7,10000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 10000}",0.681552820370279,0.6835776262020277,0.6835093272152621,0.6885716884234656,0.6801574620666796,0.6834737848555428,0.0028526748313115764,11
5.596466445922852,0.06754089130988117,0.19521174430847169,0.00117421132876787,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",1.0,0.7,30000,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 30000}",0.6882523938896422,0.6880057946397399,0.6872007721765104,0.6914047227836952,0.6834764346445672,0.687668023626831,0.0025379614088552045,7
4.723866701126099,0.06975957417269503,0.18719687461853027,0.0014248039236569785,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear')",1.0,0.7,,l2,"{'clf': LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42,
                   solver='liblinear'), 'clf__C': 1, 'clf__penalty': 'l2', 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': None}",0.6881182777598017,0.6880961262924882,0.68702108476978,0.6916875062838577,0.6837337993869923,0.6877313588985838,0.002546324212569755,5
